Uid,firstname,lastname,birthday,n1,n2,email
200033,Robert,Wright,1962-4-12,7021658,814483132,81824@uwaterloo.ca
200034,Daniel,Thomas,2003-11-1,6257627814,223536241,08587@uwaterloo.ca
200035,Michael,Green,1953-7-6,4,051507205,36818@uwaterloo.ca
200036,Frank,Hill,1995-12-19,33047375,286405477,11401@uwaterloo.ca
200037,Daniel,Martin,2004-4-13,0520,470820132,46525@uwaterloo.ca
200038,Peter,Williams,1978-7-19,3,638457376,86635@uwaterloo.ca
200039,William,Clark,1968-4-4,652175,264238527,45525@uwaterloo.ca
200040,Carleigh,Rodriguez,1936-6-26,585284270,050337132,55235@uwaterloo.ca
200041,Howard,Brown,2002-12-22,5,088837816,83307@uwaterloo.ca
200042,George,Miller,1976-3-18,1624154,774471573,36232@uwaterloo.ca
200043,Jacob,Adams,1936-2-19,412033,013332271,62211@uwaterloo.ca
200044,Thomas,Scott,1978-1-16,6517487,233402674,70082@uwaterloo.ca
200045,James,Davis,1953-11-18,407202445,675152544,78206@uwaterloo.ca
200046,John,Garcia,1948-10-6,53760581,824652536,30020@uwaterloo.ca
200047,Howard,Mitchell,1985-2-3,6067226717,587078784,31717@uwaterloo.ca
200048,Elmer,Wright,1947-8-3,003270676,536572700,31648@uwaterloo.ca
200049,Frank,Davis,1924-6-6,22,232131411,32703@uwaterloo.ca
200050,Henry,Hall,1940-7-6,0853180278,085180482,77126@uwaterloo.ca
200051,Jim,Walker,1982-3-18,245,068200776,00447@uwaterloo.ca
200052,Riya,Lopez,1930-8-12,2550,760073308,20513@uwaterloo.ca
200053,Jacob,Lee,1993-7-2,8575421008,278674472,45465@uwaterloo.ca
200054,Carleigh,Young,2001-10-9,646181657,602422183,63657@uwaterloo.ca
200055,Louis,White,1935-4-8,575,802627887,35373@uwaterloo.ca
200056,Charlie,Hall,1960-1-28,2733622122,316738833,85685@uwaterloo.ca
200057,David,Adams,1933-2-19,64,623482530,45823@uwaterloo.ca
200058,Bert,Harris,1964-2-6,100003582,534063443,47012@uwaterloo.ca
200059,Oscar,Nguyen,1975-10-13,7,831258656,37183@uwaterloo.ca
200060,Benjamin,Williams,1963-8-9,145,541367208,33440@uwaterloo.ca
200061,Charles,Hernandez,1984-4-12,55,182417258,38574@uwaterloo.ca
200062,Bert,Carter,1976-9-13,7,528110232,52223@uwaterloo.ca
200063,Albert,Campbell,1938-4-19,3702633564,243616880,67344@uwaterloo.ca
200064,Sloane,Hill,1937-10-16,4,462340623,11463@uwaterloo.ca
200065,Diya,Rivera,1969-7-7,820221210,764828321,80852@uwaterloo.ca
200066,Howard,Perez,1972-7-1,6,101062755,84662@uwaterloo.ca
200067,Joe,Wilson,1994-6-7,0265,200444272,85551@uwaterloo.ca
200068,Edward,Lewis,1993-9-10,55686376,447883788,18318@uwaterloo.ca
200069,Carl,Mitchell,1924-2-16,02400,365302366,53441@uwaterloo.ca
200070,Walter,Brown,2001-4-26,5437,374818156,14652@uwaterloo.ca
200071,Louis,Scott,2001-5-18,42,363074852,42477@uwaterloo.ca
200072,Clarence,White,1998-3-15,404616,764738766,07507@uwaterloo.ca
200073,Benjamin,Mitchell,1930-10-12,34,518534632,47840@uwaterloo.ca
200074,Bert,Torres,2004-10-18,6,112181101,03502@uwaterloo.ca
200075,Walter,Rodriguez,1982-2-11,037572,217845021,10477@uwaterloo.ca
200076,Tom,Thompson,1955-3-18,8808601,676010267,28736@uwaterloo.ca
200077,Herbert,Green,1966-7-21,261,306886054,48804@uwaterloo.ca
200078,Willie,Mitchell,1944-9-24,5,163736253,04773@uwaterloo.ca
200079,Jacob,Hernandez,1992-3-21,54658887,878811874,75585@uwaterloo.ca
200080,Frank,Wright,1983-7-22,3515268,781176332,41351@uwaterloo.ca
200081,Willie,Lopez,1962-6-5,780162386,004861141,30188@uwaterloo.ca
200082,Willie,Harris,1988-1-3,6002,728548255,00268@uwaterloo.ca
200083,David,Allen,1970-5-3,78,151086155,26038@uwaterloo.ca
200084,Willie,Wright,1993-8-7,41,410837454,31122@uwaterloo.ca
200085,Bert,Johnson,1948-7-3,084,743810301,13352@uwaterloo.ca
200086,William,Jackson,1972-1-8,18,665360148,44553@uwaterloo.ca
200087,Herbert,Flores,1922-8-11,3540006537,827732226,36115@uwaterloo.ca
200088,Howard,Robinson,1921-6-15,2435246475,027262282,78834@uwaterloo.ca
200089,Francis,Williams,1933-12-16,71,731174651,04511@uwaterloo.ca
200090,Bert,Brown,1989-4-28,375356211,306247612,72608@uwaterloo.ca
200091,William,White,1963-7-13,4,315014184,54437@uwaterloo.ca
200092,Carleigh,Mitchell,1978-1-23,33163,685770112,43387@uwaterloo.ca
200093,William,Torres,2001-11-1,233051600,315367276,80617@uwaterloo.ca
200094,Riya,Thomas,1943-4-14,73,316587285,15245@uwaterloo.ca
200095,Joseph,White,1933-3-10,53,051734857,00332@uwaterloo.ca
200096,Benjamin,Garcia,1984-1-4,772883378,317403885,00231@uwaterloo.ca
200097,Carl,Thompson,1958-1-22,511,420138724,83770@uwaterloo.ca
200098,Robert,Lewis,1992-6-6,358584,721832640,38843@uwaterloo.ca
200099,Carl,Nguyen,1959-2-3,6,825572620,73631@uwaterloo.ca
200100,Jim,Williams,1944-9-9,48688282,521772330,53066@uwaterloo.ca
200101,Carleigh,Taylor,1962-4-8,285160,118600643,06416@uwaterloo.ca
200102,Charles,Jackson,1999-7-22,46613122,648746137,24030@uwaterloo.ca
200103,John,Lewis,1923-3-27,1288,166107734,13644@uwaterloo.ca
200104,Kenley,Campbell,1989-9-7,200433140,786346264,80015@uwaterloo.ca
200105,Francis,Jones,1942-7-27,04830300,064080528,55776@uwaterloo.ca
200106,Frank,Wilson,1950-3-16,517832278,261747412,71517@uwaterloo.ca
200107,Oscar,Brown,2001-11-11,4420,535632823,74371@uwaterloo.ca
200108,Sloane,Hernandez,1966-12-3,308314,517638044,41851@uwaterloo.ca
200109,Ernest,Flores,1966-6-10,13744,665108355,75270@uwaterloo.ca
200110,Elmer,Thomas,1930-1-3,78107107,704256501,41766@uwaterloo.ca
200111,Benjamin,Campbell,1952-1-12,671752147,262416587,50328@uwaterloo.ca
200112,Edward,Clark,1971-7-20,86538430,164247802,83233@uwaterloo.ca
200113,Arthur,Rivera,1962-5-25,11367,677601422,22248@uwaterloo.ca
200114,Herbert,Miller,1970-12-28,771757,318448431,25413@uwaterloo.ca
200115,David,Carter,1992-7-18,16,671738701,77881@uwaterloo.ca
200116,David,Harris,1935-2-16,8533,245465102,07407@uwaterloo.ca
200117,Diya,Lewis,1970-3-3,6,313560531,02313@uwaterloo.ca
200118,Diya,Hernandez,1970-1-4,808885,076883127,07121@uwaterloo.ca
200119,Thomas,Campbell,1952-3-26,737687,384106104,81202@uwaterloo.ca
200120,Oscar,Martin,1920-2-10,07,835448514,05275@uwaterloo.ca
200121,Iyana,Wilson,1925-3-9,2807316555,803831684,38424@uwaterloo.ca
200122,Edward,Green,1947-6-5,37430131,112087338,65776@uwaterloo.ca
200123,Jacob,Baker,1996-5-17,6,605105185,65317@uwaterloo.ca
200124,Peter,Baker,1966-8-2,16766671,387606376,24250@uwaterloo.ca
200125,Howard,Jones,1930-10-21,260,730217128,81172@uwaterloo.ca
200126,Charlie,Scott,1981-6-24,5308571650,456651382,85634@uwaterloo.ca
200127,William,Moore,1990-4-14,41625,742571045,20153@uwaterloo.ca
200128,Carl,Lopez,1976-12-27,02100140,503707337,15083@uwaterloo.ca
200129,Howard,Moore,1920-6-21,5046256040,100583453,62168@uwaterloo.ca
200130,Joseph,Davis,1942-7-3,82161344,233264610,57157@uwaterloo.ca
200131,John,Clark,1961-12-3,58314474,212320351,22741@uwaterloo.ca
200132,Frank,Torres,1938-5-12,53608105,563062282,28801@uwaterloo.ca
200133,James,Robinson,1973-6-13,3042,673725031,27742@uwaterloo.ca
200134,Sam,Scott,1925-5-10,3586480677,428333035,21307@uwaterloo.ca
200135,Peter,Moore,1947-7-28,73327277,758584161,53135@uwaterloo.ca
200136,Louis,Thompson,1998-7-15,8577200,834544636,41235@uwaterloo.ca
200137,Walter,Hernandez,1932-1-17,547,417665282,76310@uwaterloo.ca
200138,Daniel,Anderson,1993-8-22,58116,324485467,37640@uwaterloo.ca
200139,John,Lee,1926-9-12,677406533,386263875,86731@uwaterloo.ca
200140,Riya,Hernandez,1997-4-20,125,001384104,66323@uwaterloo.ca
200141,Howard,Hernandez,1973-3-15,6684,367834760,30126@uwaterloo.ca
200142,Carleigh,Harris,1980-2-8,063652006,076335274,35505@uwaterloo.ca
200143,Ernest,Young,1971-9-27,4252,603051654,33170@uwaterloo.ca
200144,Albert,Green,2003-7-7,6230267,127177235,65616@uwaterloo.ca
200145,Robert,Williams,1967-11-13,865742,830766848,18025@uwaterloo.ca
200146,Jacob,Lopez,1953-4-27,057436034,112662834,73525@uwaterloo.ca
200147,Howard,Nguyen,1991-4-25,817687524,204774347,22762@uwaterloo.ca
200148,Roy,Adams,1947-8-16,0138,372658364,67518@uwaterloo.ca
200149,Joe,Scott,1957-8-21,703661562,010253341,78515@uwaterloo.ca
200150,Francis,Roberts,1933-8-26,172,101135774,07067@uwaterloo.ca
200151,Willie,Lopez,1931-10-10,75,827054708,30407@uwaterloo.ca
200152,Richard,White,1960-11-23,430170,870811182,37543@uwaterloo.ca
200153,Daniel,Ramirez,1979-11-26,65758686,210630683,56612@uwaterloo.ca
200154,Louis,Hernandez,1966-4-13,224770607,267844463,03572@uwaterloo.ca
200155,Henry,Williams,1953-9-13,23086,622472673,24520@uwaterloo.ca
200156,Jacob,Sanchez,1964-11-9,71717,267417288,82278@uwaterloo.ca
200157,Thomas,Martin,1937-11-15,1407824,615327883,16016@uwaterloo.ca
200158,Bert,Nelson,1973-12-26,220,416686636,07323@uwaterloo.ca
200159,Martin,Carter,1936-4-28,027420468,285004157,40278@uwaterloo.ca
200160,Herbert,Carter,1937-2-5,081536582,431388102,36407@uwaterloo.ca
200161,Oscar,Lewis,1958-9-26,3627872,103526674,75403@uwaterloo.ca
200162,Francis,Gonzalez,1999-3-3,345763,083821228,56521@uwaterloo.ca
200163,Clarence,Roberts,1952-9-11,684063544,228888271,72073@uwaterloo.ca
200164,Walter,Nelson,1967-7-24,4347026273,757876307,42338@uwaterloo.ca
200165,George,Gonzalez,1985-2-15,1870610277,021714753,72678@uwaterloo.ca
200166,Albert,Roberts,1946-9-15,5276244,016060842,58137@uwaterloo.ca
200167,Henry,Scott,1964-2-17,35782,665641228,25248@uwaterloo.ca
200168,Riya,Hall,1924-1-7,101,356178168,10883@uwaterloo.ca
200169,Francis,Lopez,1997-6-26,627071832,164164727,02784@uwaterloo.ca
200170,Walter,Davis,1981-5-13,1860438644,543234654,86761@uwaterloo.ca
200171,James,Ramirez,1977-4-1,864516,015531104,41513@uwaterloo.ca
200172,Walter,Williams,1958-5-24,827,317311687,85720@uwaterloo.ca
200173,Iyana,Anderson,1978-12-5,2,517406871,37122@uwaterloo.ca
200174,Charlie,Jackson,1993-7-7,8828,121837054,26526@uwaterloo.ca
200175,Arthur,Martinez,2001-8-7,4212,321144862,77615@uwaterloo.ca
200176,George,Moore,1923-8-26,80,836461525,81716@uwaterloo.ca
200177,Elmer,Martin,1982-7-11,0402,828230185,57781@uwaterloo.ca
200178,Elmer,Jones,2000-9-16,1363164,756420400,31581@uwaterloo.ca
200179,Oscar,Martin,1979-1-28,841506542,130573214,14141@uwaterloo.ca
200180,Richard,Garcia,1967-11-28,155474668,242173278,63778@uwaterloo.ca
200181,Henry,Wilson,1939-1-1,6137833803,563483841,61121@uwaterloo.ca
200182,James,Lopez,1950-3-23,11,325606153,52710@uwaterloo.ca
200183,Kenley,Baker,1969-7-27,526035420,375478572,22061@uwaterloo.ca
200184,Joseph,Scott,1991-7-19,6714052408,012024651,18768@uwaterloo.ca
200185,Elmer,White,1927-7-12,631324821,202176555,38707@uwaterloo.ca
200186,Ernest,Allen,1990-12-5,063,226542384,56780@uwaterloo.ca
200187,William,Jones,1940-11-2,38,186218328,67054@uwaterloo.ca
200188,Henry,Nguyen,1928-1-8,43,537501018,36828@uwaterloo.ca
200189,Riya,King,1976-8-17,1840262411,365847028,15785@uwaterloo.ca
200190,Sam,Johnson,1987-7-12,1557,600556342,68125@uwaterloo.ca
200191,Elmer,Jones,1954-10-4,057,781644264,88300@uwaterloo.ca
200192,Thomas,Rivera,1982-2-9,65011364,564402877,54557@uwaterloo.ca
200193,Bert,White,1960-12-7,723434,364778064,62481@uwaterloo.ca
200194,Daniel,Martinez,1937-12-11,070,387445754,44651@uwaterloo.ca
200195,Sloane,Ramirez,1950-2-8,477747,070661827,20120@uwaterloo.ca
200196,George,Clark,1923-1-15,7,112408251,25545@uwaterloo.ca
200197,Albert,Anderson,1979-2-14,42436125,233465532,10532@uwaterloo.ca
200198,Frank,King,1931-1-13,7,101876714,16823@uwaterloo.ca
200199,Charles,Thomas,1958-4-7,16428,104574284,56016@uwaterloo.ca
200200,Bert,Perez,1980-12-24,26742,380674587,73701@uwaterloo.ca
200201,Carl,Miller,1989-12-10,5815,341156054,48675@uwaterloo.ca
200202,Walter,Williams,1996-3-26,853717,502801775,80066@uwaterloo.ca
200203,Henry,Jackson,1987-12-14,704174,805766615,51183@uwaterloo.ca
200204,Martin,Miller,1974-11-20,17,620156172,73847@uwaterloo.ca
200205,Arthur,Williams,1945-12-24,777226,830340526,72341@uwaterloo.ca
200206,Henry,Wright,1955-2-14,288045848,624031483,60243@uwaterloo.ca
200207,Lee,Clark,1937-8-27,5807130174,277424655,02147@uwaterloo.ca
200208,Charles,Hall,2004-3-6,7112,545775443,78546@uwaterloo.ca
200209,Richard,Jones,1999-10-23,86003474,134060826,83526@uwaterloo.ca
200210,Elmer,Rodriguez,1928-2-21,866,731350177,81751@uwaterloo.ca
200211,Herbert,Mitchell,2003-2-15,81,647041043,65825@uwaterloo.ca
200212,Joe,Gonzalez,1947-2-27,024073,888100570,57700@uwaterloo.ca
200213,Jacob,Harris,1929-6-18,473146,371168310,47802@uwaterloo.ca
200214,David,White,1925-3-28,8382725034,614015035,27118@uwaterloo.ca
200215,Iyana,Hernandez,1925-4-9,445671418,786587554,87453@uwaterloo.ca
200216,Jim,Torres,1966-4-16,3101632534,070840483,86087@uwaterloo.ca
200217,Robert,Wilson,1967-6-5,72213055,256816502,80137@uwaterloo.ca
200218,Arthur,King,1949-2-20,4080,353010047,16423@uwaterloo.ca
200219,Ernest,Thomas,1950-1-28,14,688853611,23654@uwaterloo.ca
200220,Diya,Martin,1937-10-16,5010,772220817,28781@uwaterloo.ca
200221,Kenley,Roberts,1957-8-15,58,863122032,16103@uwaterloo.ca
200222,Clarence,Moore,1926-4-19,316270,483660562,78221@uwaterloo.ca
200223,Sloane,Lee,1967-10-5,1144600,708753773,68748@uwaterloo.ca
200224,George,Green,1962-8-17,6364387275,407450006,80142@uwaterloo.ca
200225,Lee,Lopez,1931-7-14,8022577321,170204258,72848@uwaterloo.ca
200226,Jim,Carter,1941-5-14,3520,577134685,23860@uwaterloo.ca
200227,Henry,Mitchell,1929-1-20,3818180628,846136084,65721@uwaterloo.ca
200228,Jacob,Brown,1941-10-1,5161766772,258461317,62537@uwaterloo.ca
200229,Carl,Martinez,1954-11-14,064,534701225,41582@uwaterloo.ca
200230,Albert,Hall,1931-6-7,62,346675148,57172@uwaterloo.ca
200231,Joseph,Hernandez,1973-9-2,30655,814026444,54484@uwaterloo.ca
200232,Jacob,Campbell,1999-9-2,260225,588262540,21785@uwaterloo.ca
200233,Elmer,Miller,2003-1-1,612211,216358104,46874@uwaterloo.ca
200234,Jesse,Wilson,1933-2-25,06115,808214638,15018@uwaterloo.ca
200235,Walter,Campbell,1972-6-21,1444,372705110,48141@uwaterloo.ca
200236,Joseph,Martinez,1928-12-11,565654,841832615,77557@uwaterloo.ca
200237,Lee,Thomas,1936-12-3,42,118587706,01661@uwaterloo.ca
200238,Thomas,Roberts,1982-9-5,4744867,164654733,60543@uwaterloo.ca
200239,Charlie,Campbell,1972-5-10,446662,463722682,60637@uwaterloo.ca
200240,Bert,Hill,1984-6-21,3172654183,256757060,83807@uwaterloo.ca
200241,Oscar,Rodriguez,1939-4-12,618,118716585,45842@uwaterloo.ca
200242,Kenley,Jones,1953-10-8,163160,272250045,87383@uwaterloo.ca
200243,James,Rodriguez,1972-9-26,5006081813,254554728,08606@uwaterloo.ca
200244,George,Wilson,1952-7-10,723270000,400544345,04786@uwaterloo.ca
200245,John,Walker,1984-5-3,643,341518265,53458@uwaterloo.ca
200246,Oscar,Torres,1938-7-22,7526,362668074,35542@uwaterloo.ca
200247,Andrew,White,2003-6-23,48,847074278,34021@uwaterloo.ca
200248,Charlie,Lewis,1930-8-17,7787228156,648538586,00627@uwaterloo.ca
200249,Harry,Green,1920-11-19,204537,748760267,55545@uwaterloo.ca
200250,Bert,Jackson,1975-3-23,5784553333,526424212,88844@uwaterloo.ca
